Partner code,POS,GB,$txn,Profit,Markup,Fee,Tax
PTM_MEDIBANK,PTM,,,,Yes,Yes,Yes
PTM_COLATOUR,PTM,,,,Yes,Yes,Yes
HAA_123CASA,HAA,,,,Yes,Yes,Yes
HAA_AUSTRALIANACCOMM,HAA,,,,Yes,Yes,Yes
HAA_JUNGLECITY,HAA,,,,Yes,Yes,Yes
PTM_EZYFLY,PTM,,,,Yes,Yes,Yes
PTM_AINA,PTM,,,,Yes,Yes,Yes
PTM_MKASERVICES,PTM,,,,Yes,Yes,Yes
HAA_CANADAALASKA,HAA,,,Yes,,,
PTM_SYDNEYONLINE,PTM,,,,Yes,Yes,Yes
PTM_TRAVELTOOLS,PTM,,,,Yes,Yes,Yes
PTM_GETAROOMAUS,PTM,,,,Yes,Yes,Yes
PTM_CAFEYTREN,PTM,,,,Yes,Yes,Yes
HAA_BOKAHOTELL,HAA,,,,Yes,Yes,Yes
HAA_JEP,HAA,,,,Yes,Yes,Yes
HAA_HOTELSDIRECT,HAA,,,,Yes,Yes,Yes
HAA_KAPSTADTTOUR,HAA,,,,Yes,Yes,Yes
HAA_NAGYPIHENES,HAA,,,,Yes,Yes,Yes
HAA_HOTELGUIDE,HAA,,,,Yes,Yes,Yes
PTM_BILETES,PTM,,,,Yes,Yes,Yes
HAA_REISEPARTNER,HAA,,,,Yes,Yes,Yes
HAA_PERGAMINOVIRTUAL,HAA,,,,Yes,Yes,Yes
HAA_RAJHOLIDAYS,HAA,,,,Yes,Yes,Yes
HAA_HOTELTRADER,HAA,,,,Yes,Yes,Yes
HAA_ITRIP,HAA,,,,Yes,Yes,Yes
PTM_DIAMONDHOLIDAY,PTM,,,Yes,,,
PTM_AUSTEREO_STAFF,PTM,,,,Yes,Yes,Yes
PTM_HOTELSK,PTM,,,,Yes,Yes,Yes
PTM_FLYFROM,PTM,,,,Yes,Yes,Yes
HAA_WEBTRAVELAUSTRAL,HAA,,,,Yes,Yes,Yes
PTM_THEGUIDE,PTM,,,,Yes,Yes,Yes
PTM_AUSTRALIAHOTELS,PTM,,,,Yes,Yes,Yes
HAA_AUSTRALIANEXPLOR,HAA,,,,Yes,Yes,Yes
